"text","title"
"Hark! The herald angels sing
Glory to the newborn King!
Peace on earth, and mercy mild
God and sinners reconciled
Joyful, all ye nations rise
Join the triumph of the skies
With th’ angelic host proclaim
Christ is born in Bethlehem!

Hark! The herald angels sing
Glory to the newborn King!

Christ, by highest heav’n adored
Christ, the everlasting Lord!
Late in time behold Him come
Offspring of a virgin’s womb
Veiled in flesh the Godhead see
Hail th’ incarnate Deity
Pleased with us in flesh to dwell
Jesus, our Emmanuel

Hark! The herald angels sing
Glory to the newborn King!

Hail the heav’n-born Prince of Peace
Hail the Son of Righteousness
Light and life to all He brings
Ris’n with healing in His wings
Mild He lays His glory by
Born that we no more may die
Born to raise us from the earth
Born to give us second birth

Hark! The herald angels sing
Glory to the newborn King!","Hark! The Herald Angels Sing Lyrics"
"Have yourself a merry little Christmas
Let your heart be light
From now on our
Troubles will be out of sight

Have yourself a merry little Christmas
make the Yuletide gay
From now on our 
troubles will be miles away

Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us, once more

Through the years we'll always be together
If the fates allow
Hang a shining star
Upon the highest bough
And have yourself a merry little Christmas right now

Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us, once more

Through the years we all will be together
If the fates allow
Hang a shining star
Upon the highest bough
And have yourself a merry little Christmas right now
A merry little Christmas now
Yes a very merry little Christmas now
Oh yeah, a merry little Christmas","Have Yourself a Merry Little Christmas Lyrics"
"Here we come a-carolling
Among the leaves so green
Here we come a-wand’ring
So fair to be seen

Love and joy come to you
And to you glad Christmas too
And God bless you and send you a Happy New Year
And God send you a Happy New Year

We are not daily beggars
That beg from door to door
But we are neighbours’ children
Whom you have seen before

Love and joy come to you
And to you glad Christmas too
And God bless you and send you a Happy New Year
And God send you a Happy New Year

Bring us out a table
And spread it with a cloth
Bring us out a mouldy cheese
And some of your Christmas loaf

Love and joy come to you
And to you glad Christmas too
And God bless you and send you a Happy New Year
And God send you a Happy New Year

God bless the master of this house
Likewise the mistress too
And all the little children
That round the table go

Love and joy come to you
And to you glad Christmas too
And God bless you and send you a Happy New Year
And God send you a Happy New Year

Good master and good mistress
While you’re sitting by the fire
Pray think of us poor children
Who are wandering in the mire

Love and joy come to you
And to you glad Christmas too
And God bless you and send you a Happy New Year
And God send you a Happy New Year","Here We Come A-Caroling Lyrics"
"The holly and the ivy
When they are both full grown
Of all the trees that are in the wood
The holly bears the crown

O, the rising of the sun
And the running of the deer
The playing of the merry organ
Sweet singing in the choir

The holly bears a blossom
As white as lily flower
And Mary bore sweet Jesus Christ
To be our sweet Saviour

O, the rising of the sun
And the running of the deer
The playing of the merry organ
Sweet singing in the choir

The holly bears a berry
As red as any blood
And Mary bore sweet Jesus Christ
To do poor sinners good

O, the rising of the sun
And the running of the deer
The playing of the merry organ
Sweet singing in the choir

The holly bears a prickle
As sharp as any thorn
And Mary bore sweet Jesus Christ
On Christmas Day in the morn

O, the rising of the sun
And the running of the deer
The playing of the merry organ
Sweet singing in the choir

The holly bears a bark
As bitter as any gall
And Mary bore sweet Jesus Christ
For to redeem us all

O, the rising of the sun
And the running of the deer
The playing of the merry organ
Sweet singing in the choir","Holly and the Ivy Lyrics"
"I saw Mummy kissing Santa Claus
Underneath the mistletoe last night
She didn't see me creep
Down the stairs to have a peep
She thought that I was tucked up 
In my bedroom fast asleep

Then, I saw Mummy tickle Santa Claus
Underneath his beard so snowy white
Oh, what a laugh it would have been
If Daddy had only seen
Mommy kissing Santa Claus last night

I saw Mummy kissing Santa Claus
Underneath the mistletoe last night
She didn't see me creep
Down the stairs to have a peep
She thought that I was tucked up
In my bedroom fast asleep

Then, I saw Mummy tickle Santa Claus
Underneath his beard so snowy white
Oh, what a laugh it would have been
If Daddy had only seen
Mommy kissing Santa Claus last night!","I Saw Mummy Kissing Santa Claus Lyrics"
"I saw three ships come 
sailing in,
On Christmas Day, on 
Christmas Day;
I saw three ships come 
sailing in,
On Christmas Day in the 
morning.

And what was in those 
ships all three,
On Christmas Day, on 
Christmas Day;
And what was in those 
ships all three,
On Christmas Day in the 
morning?

The Virgin Mary and Christ were there,
On Christmas Day, on 
Christmas Day;
The Virgin Mary and Christ were there,
On Christmas Day in the 
morning.

Pray, whither sailed 
those ships all three,
On Christmas Day, on 
Christmas Day;
Pray, whither sailed 
those ships all three,
On Christmas Day in the 
morning?

O they sailed into Bethlehem,
On Christmas Day, on 
Christmas Day;
O they sailed into Bethlehem,
On Christmas Day in the 
morning.

And all the bells on earth 
shall ring,
On Christmas Day, on 
Christmas Day;
And all the bells on earth 
shall ring,
On Christmas Day in the 
morning.

And all the angels in heaven 
shall sing,
On Christmas Day, on 
Christmas Day;
And all the angels in 
heaven shall sing,
On Christmas Day in the 
morning.

And all the souls on earth 
shall sing,
On Christmas Day, on 
Christmas Day;
And all the souls on 
earth shall sing,
On Christmas Day in the
 morning.

Then let us all rejoice again,
On Christmas Day, on 
Christmas Day;
Then let us all rejoice again,
On Christmas Day in the 
morning.

","I Saw Three Ships Lyrics"
"I’m a little snowman
Round and fat,
I’ve a woolly scarf
And a little bobble hat.
When the snow is falling
You will hear me say:
Come and make a snowman,
We’ll have a fun day!","I'm a Little Snowman Lyrics"
"I’m a little star, hanging on a tree
See the little children dance around me

Tra-la-la, tra-la-la
Tra-la-la, la-la-la
Tra-la-la, tra-la-la
Tra-la-la, la

I’m a candy stick, hanging on a tree
See the little children dance around me

Tra-la-la, tra-la-la
Tra-la-la, la-la-la
Tra-la-la, tra-la-la
Tra-la-la, la

I’m a pretty angel, hanging on a tree
See the little children dance around me

Tra-la-la, tra-la-la
Tra-la-la, la-la-la
Tra-la-la, tra-la-la
Tra-la-la, la

I’m a bright light, hanging on a tree
See the little children dance around me

Tra-la-la, tra-la-la
Tra-la-la, la-la-la
Tra-la-la, tra-la-la
Tra-la-la, la","I'm a Little Star Lyrics"
"I’m standing under the 
mistletoe, mistletoe, 
mistletoe.
I’m standing under the 
mistletoe, next to you!

Guess what I must have to do, have to do, have to do. 
Guess what I must have to do...
Oh no! 
I have to kiss you!","I'm Standing Under the Mistletoe Lyrics"
"I've got the joy, joy, joy, joy 
Down in my heart
Down in my heart
Down in my heart
I've got the joy, joy, joy, joy 
Down in my heart
Down in my heart to stay

And I'm so happy
So very happy
I've got the joy of Christmas in my heart
Yes I'm so happy
So very happy
I've got the joy of Christmas in my heart

I've got the hope, hope, hope, hope
Down in my heart
Down in my heart
Down in my heart
I've got the hope, hope, hope, hope 
Down in my heart
Down in my heart to stay

And I'm so happy
So very happy
I've got the joy of Christmas in my heart
Yes I'm so happy
So very happy
I've got the joy of Christmas in my heart

I've got the peace, peace, peace, peace
Down in my heart
Down in my heart
Down in my heart
I've got the peace, peace, peace, peace 
Down in my heart
Down in my heart to stay

And I'm so happy
So very happy
I've got the joy of Christmas in my heart
Yes I'm so happy
So very happy
I've got the joy of Christmas in my heart

I've got the love, love, love, love
Down in my heart
Down in my heart
Down in my heart
I've got the love, love, love, love 
Down in my heart
Down in my heart to stay

And I'm so happy
So very happy
I've got the joy of Christmas in my heart
Yes I'm so happy
So very happy
I've got the joy of Christmas in my heart

I’ve got the joy!
I’ve got the hope!
I’ve got the peace!
I’ve got the love!
Merry Christmas!","I've Got the Christmas Joy Lyrics"
"In France they have Père Noël
In Italy, Befana
In Germany, Kris Kringle
And we know him as Santa Claus

So ride your sleigh, sleigh, sleigh
Let dear Rudolph lead the way
So ride your sleigh, sleigh, sleigh
Let dear Rudolph lead the way
So ride your sleigh, sleigh, sleigh
Let dear Rudolph lead the way
Up on the rooftops high!

In Holland they have Saint Nicholas
In Russia, Babouschka
In England, Father Christmas
And we know him as Santa Claus.

So ride your sleigh, sleigh, sleigh
Let dear Rudolph lead the way
So ride your sleigh, sleigh, sleigh
Let dear Rudolph lead the way
So ride your sleigh, sleigh, sleigh
Let dear Rudolph lead the way
Up on the rooftops high!

In China they have Lam Khoong-Khoong
In Sweden, Jultomten
In Poland, Star Man
And we know him as Santa Claus

So ride your sleigh, sleigh, sleigh
Let dear Rudolph lead the way
So ride your sleigh, sleigh, sleigh
Let dear Rudolph lead the way
So ride your sleigh, sleigh, sleigh
Let dear Rudolph lead the way
Up on the rooftops high!

In Brazil they have Papá Noel
In Japan, Hoteiosho
In Chile, Viejo Pascuero
And we know him as Santa Claus

So ride your sleigh, sleigh, sleigh
Let dear Rudolph lead the way
So ride your sleigh, sleigh, sleigh
Let dear Rudolph lead the way
So ride your sleigh, sleigh, sleigh
Let dear Rudolph lead the way
Up on the rooftops high!","In France they have Pere Noel Lyrics"
"Infant holy, infant lowly
For His bed a cattle stall
Oxen lowing, little knowing
Christ the Babe is Lord of all
Swift are winging, angels singing 
Noels ringing, tidings bringing
Christ the Babe is Lord of all
Christ the Babe is Lord of all

Flocks were sleeping, shepherds keeping
Vigil till the morning new
Saw the glory, heard the story
Tidings of a Gospel true
Thus rejoicing, free from sorrow
Praises voicing, greet the morrow
Christ the Babe was born for you
Christ the Babe was born for you","Infant Holy Infant Lowly Lyrics"
"It came upon the midnight clear
That glorious song of old
From angels bending near the earth
To touch their harps of gold
Peace on the earth, goodwill to men
From heaven's all-gracious King
The world in solemn stillness lay
To hear the angels sing

Still through the cloven skies they come
With peaceful wings unfurled
And still their heavenly music floats
O'er all the weary world
Above its sad and lowly plains
They bend on hovering wing
And ever o'er its babel sounds
The blessed angels sing

For lo, the days are hastening on
By prophet bards foretold
When with the ever-circling years
Comes round the age of gold
When peace shall over all the earth
Its ancient splendors fling
And the whole world gives back the song
Which now the angels sing","It Came Upon a Midnight Clear Lyrics"
"It's the most wonderful time of the year.
With the kids jingle belling,
And everyone telling you be of good cheer.
It's the most wonderful time of the year!

It's the hap-happiest season of all.
With these holiday greetings and gay happy meetings,
When friends come to call.
It's the hap-happiest season of all!

There'll be parties for hosting,
Marshmallows for toasting,
And caroling out in the snow.
There'll be scary ghost stories,
And tales of the glories of,
Christmases long, long ago.

It's the most wonderful time of the year.
There'll be much mistletoeing,
And hearts will be glowing,
When loved ones are near.
It's the most wonderful time of the year!

There'll be parties for hosting,
Marshmallows for toasting,
And caroling out in the snow.
There'll be scary ghost stories,
And tales of the glories of,
Christmases long, long ago.

It's the most wonderful time of the year.
There'll be much mistletoeing,
And hearts will be glowing,
When loved ones are near.
It's the most wonderful time,
Yes the most wonderful time,
Oh the most wonderful time,
Of the year!","It's the Most Wonderful Time of the Year"
"Jingle bell, jingle bell, jingle bell rock
Jingle bells swing and jingle bells ring
Snowin’ and blowin’ up bushels of fun
Now the jingle hop has begun
Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin’ and prancin’ in Jingle Bell Square
In the frosty air

What a bright time, it’s the right time
To rock the night away
Jingle bell time is a swell time
To go glidin’ in a one-horse sleigh
Giddy-up, jingle horse, pick up your feet
Jingle around the clock
Mix and mingle in a jinglin’ beat
That’s the jingle bell rock!

What a bright time, it’s the right time
To rock the night away
Jingle bell time is a swell time
To go glidin’ in a one-horse sleigh
Giddy-up, jingle horse, pick up your feet
Jingle around the clock
Mix and mingle in a jinglin’ beat
That’s the jingle bell
That’s the jingle bell
That’s the jingle bell rock!","Jingle Bell Rock Lyrics"
